round,lang_id,variable,iso_alpha2,country,lang_name,glottocode,glottolog_name,level
1,103,language,NG,7,Hausa,haus1257,Hausa,language
1,104,language,NG,7,Yoruba,yoru1245,Yoruba,language
1,105,language,NG,7,Ibo,nucl1417,Igbo,language
1,106,language,NG,7,Tiv,tivv1240,Tiv,language
1,107,language,NG,7,Ijaw,ijoo1239,Ijo,family
1,108,language,NG,7,Nupe,nupe1254,Nupe-Nupe-Tako,language
1,109,language,NG,7,Kanuri,kanu1281,Kanuric,family
1,110,language,NG,7,Ibibio-Efik,efik1244,Efik-Ibibio,family
1,111,language,NG,7,Edo,bini1246,Bini,language
1,113,language,NG,7,Irobo/Urhobo,urho1239,Urhobo,language
1,114,language,NG,7,Idoma,idom1241,Idoma,language
1,115,language,NG,7,Calabar,efik1245,Efik,language
1,116,language,NG,7,Ogoja,yala1263,Yala,language
1,117,language,NG,7,Knale,,,
1,118,language,NG,7,Igala,igal1242,Igala,language
1,119,language,NG,7,Boki,boky1238,Bokyi,language
1,120,language,NG,7,Igbira,ebir1243,Ebira,language
1,121,language,NG,7,Ikpon,,,
1,122,language,NG,7,Isoko,isok1239,Isoko,language
1,123,language,NG,7,Ikan,,,
1,124,language,NG,7,Ishan/Esan,esan1238,Esan,language
1,125,language,NG,7,Anam,,,
1,126,language,NG,7,Annag,,,
1,127,language,NG,7,Itsekiri,isek1239,Isekiri,language
1,128,language,NG,7,Ika,ikaa1238,Ika,language
1,129,language,NG,7,Ukwale,ukwu1241,Ukwuani-Aboh-Ndoni,language
1,130,language,NG,7,Epie,epie1238,Epie,language
1,131,language,NG,7,Tangoa,otan1238,Otank,language
1,132,language,NG,7,Omoku,,,
1,133,language,NG,7,Ora,,,
1,134,language,NG,7,Auche,,,
1,135,language,NG,7,Okirika,,,
1,136,language,NG,7,Esako,,,
1,137,language,NG,7,Okpe,okpe1250,Okpe (Southwestern Edo),language
1,138,language,NG,7,Owan,,,
1,139,language,NG,7,Ikwerre,ikwe1242,Ikwere,language
1,140,language,NG,7,Ibani,iban1261,Ibani,language
1,141,language,NG,7,Kalabari,kala1381,Kalabari,language
1,142,language,NG,7,Ogoni,khan1278,Khana,language
1,143,language,NG,7,Akassa,sout2774,Southeast Ijo,language
1,145,language,NG,7,Berieberi,cent2050,Central Kanuri,language
1,146,language,NG,7,Fulani,adam1253,Adamawa Fulfulde,language
1,147,language,NG,7,Kagoro,tyap1238,Tyap,language
1,148,language,NG,7,Bekwarr,bekw1241,Bekwarra,language
1,149,language,NG,7,Nkwana,,,
1,150,language,NG,7,Babur,bura1292,Bura-Pabir,language
1,151,language,NG,7,Kiiba,,,
1,152,language,NG,7,Nungu,nung1292,Nungu,language
1,153,language,NG,7,Kabba/Koro,koro1301,Koroic,family
1,154,language,NG,7,Eggon,eggo1239,Eggon,language
1,155,language,NG,7,Kuba,chee1238,Che,language
1,156,language,NG,7,Madara,,,
1,157,language,NG,7,Bura,bura1292,Bura-Pabir,language
1,158,language,NG,7,Margi,marg1265,Marghi Central,language
1,159,language,NG,7,Cabarmawa,,,
1,160,language,NG,7,Kibaku,ciba1236,Cibak,language
1,161,language,NG,7,Mafa,mafa1239,Mafa,language
1,162,language,NG,7,Beron/Birom,bero1242,Berom,language
1,163,language,NG,7,Angas,ngas1240,Ngas,language
1,164,language,NG,7,Iregwe,irig1241,Irigwe,language
1,165,language,NG,7,Afizere,izer1241,Izere,language
1,166,language,NG,7,Koro,koro1301,Koroic,family
1,167,language,NG,7,Normana,numa1252,Numana-Nunku-Gbantu-Numbu,language
1,168,language,NG,7,Miango,irig1241,Irigwe,language
1,169,language,NG,7,Gyerawa,,,
1,170,language,NG,7,Eterco,,,
1,171,language,NG,7,Zar,saya1246,Saya,language
1,172,language,NG,7,Lantan,,,
1,173,language,NG,7,Mwaghauw,mwag1236,Mwaghavul,language
1,174,language,NG,7,Pyem,fyam1238,Fyam,language
1,175,language,NG,7,Chawai,atsa1241,Atsam,language
1,176,language,NG,7,Gbaji,gbag1258,Gbagyi,language
1,177,language,NG,7,Nanba/Wanba,,,
1,178,language,NG,7,Jarawa,jara1263,Jarawa (Nigeria),language
1,179,language,NG,7,Katap,tyap1238,Tyap,language
1,180,language,NG,7,Tangale,nucl1696,Tangale,language
1,181,language,NG,7,Waja,waja1259,Waja,language
1,182,language,NG,7,Jukun,juku1254,Jukun Takum,language
1,183,language,NG,7,Bayam,nort2775,Northwest Gbaya,language
1,184,language,NG,7,Shuwa Arab,chad1249,Chadian Arabic,language
1,185,language,NG,7,Ndochi,,,
1,186,language,NG,7,Kare Kare,kare1348,Karekare,language
1,187,language,NG,7,Gwari,gbag1256,Gbagyi-Gbari,family
1,188,language,NG,7,Rukuba,chee1238,Che,language
1,189,language,UG,10,Alur,alur1250,Alur,language
1,190,language,UG,10,Ateso,teso1249,Teso,language
1,191,language,UG,10,Kakwa,kakw1240,Kakwa,language
1,192,language,UG,10,Kinyarwanda,kiny1244,Kinyarwanda,language
1,193,language,UG,10,Kiswahili,swah1253,Swahili,language
1,194,language,UG,10,Luganda,gand1255,Ganda,language
1,195,language,UG,10,Lugbara,lugb1240,Lugbara,language
1,196,language,UG,10,Lumasaba,masa1299,Masaaba,language
1,197,language,UG,10,Luo,sout2831,Southern Lwoo,family
1,198,language,UG,10,Lusoga,soga1242,Soga,language
1,199,language,UG,10,Madi,sout2827,Southern Moru-Madi,family
1,200,language,UG,10,Ruhororo,nyan1307,Nyankole,language
1,201,language,UG,10,Rukiga,chig1238,Chiga,language
1,202,language,UG,10,Runyoro,nyor1246,Nyoro,language
1,203,language,UG,10,Rutooro,toor1238,Tooro,language
1,204,language,UG,10,Ruyankole,nyan1307,Nyankole,language
1,205,language,UG,10,Samia-Lugwe,saam1283,Saamia,language
1,206,language,TZ,9,Swahili,swah1253,Swahili,language
1,207,language,TZ,9,Chagga,moch1256,Mochi,language
1,208,language,TZ,9,Kurya,kuri1259,Kuria,language
1,209,language,TZ,9,Nyakyusa,nyak1260,Nyakyusa-Ngonde,language
1,210,language,TZ,9,Pare,asut1235,Asu (Tanzania),language
1,211,language,TZ,9,Haya,haya1250,Haya,language
1,212,language,TZ,9,Sukuma,suku1261,Sukuma,language
1,213,language,TZ,9,Luguru,lugu1238,Luguru,language
1,214,language,TZ,9,Hehe,hehe1240,Hehe,language
1,215,language,TZ,9,Masai,masa1300,Masai,language
1,216,language,TZ,9,Mbulu,iraq1241,Iraqw,language
1,217,language,TZ,9,Makonde,mako1251,Makonde,language
1,218,language,TZ,9,Ngoni,ngon1269,Ngoni,language
1,219,language,TZ,9,Fipa,fipa1238,Fipa,language
1,220,language,TZ,9,Nyamwezi,nyam1276,Nyamwezi,language
1,221,language,TZ,9,Jaluo,luok1236,Luo (Kenya and Tanzania),language
1,222,language,TZ,9,Zaramo,zara1247,Zaramo,language
1,995,language,BW,1,Other,,,
1,995,language,GH,2,Other,,,
1,995,language,LS,3,Other,,,
1,995,language,MW,4,Other,,,
1,995,language,NG,7,Other,,,
1,995,language,ZA,8,Other,,,
1,995,language,TZ,9,Other,,,
1,995,language,UG,10,Other,,,
1,995,language,ZM,11,Other,,,
1,995,language,ZW,12,Other,,,
1,998,language,MW,4,Refused to answer,,,
1,999,language,BW,1,Missing data,,,
1,999,language,GH,2,Missing data,,,
1,999,language,LS,3,Missing data,,,
1,999,language,MW,4,Missing data,,,
1,999,language,NA,6,Missing data,,,
1,999,language,UG,10,Missing data,,,
1,999,language,ZM,11,Missing data,,,
1,999,language,ZW,12,Missing data,,,
2,-1,q110,SN,16,Missing,,,
2,1,q110,GH,2,English,stan1293,English,language
2,1,q110,NA,6,English,stan1293,English,language
2,1,q110,ZA,8,English,stan1293,English,language
2,2,q110,ML,5,French,stan1290,French,language
2,2,q110,SN,16,French,stan1290,French,language
2,3,q110,MZ,15,Portuguese,port1283,Portuguese,language
2,4,q110,TZ,9,Kiswahili,swah1253,Swahili,language
2,4,q110,KE,14,Kiswahili,swah1253,Swahili,language
2,50,q110,CV,13,Crioulo,kabu1256,Kabuverdianu,language
2,60,q110,UG,10,Luganda,gand1255,Ganda,language
2,61,q110,UG,10,Lusoga,soga1242,Soga,language
2,62,q110,UG,10,Ateso,teso1249,Teso,language
2,63,q110,UG,10,Rutoro,toor1238,Tooro,language
2,64,q110,UG,10,Rukiga,chig1238,Chiga,language
2,65,q110,UG,10,Lumasaba,masa1299,Masaaba,language
2,66,q110,UG,10,Luo,sout2831,Southern Lwoo,family
2,67,q110,UG,10,Lugbara,lugb1240,Lugbara,language
2,68,q110,UG,10,Alur,alur1250,Alur,language
2,70,q110,UG,10,Runyankole,nyan1307,Nyankole,language
2,73,q110,UG,10,Samia-Lugwe,saam1283,Saamia,language
2,81,q110,MZ,15,Emakhuwa,makh1264,Makhuwa,language
2,82,q110,MZ,15,Cisena,nucl1396,Sena,language
2,83,q110,MZ,15,Cindau,ndau1241,Ndau,language
2,84,q110,MZ,15,Cinyanja,nyan1308,Nyanja,language
2,85,q110,MZ,15,Xichangana,tson1249,Tsonga,language
2,86,q110,MZ,15,Cicopi,chop1243,Chopi,language
2,87,q110,MZ,15,Gitonga,gito1238,Gitonga,language
2,88,q110,MZ,15,Shimakonde,mako1251,Makonde,language
2,89,q110,MZ,15,Echuwabu,chuw1238,Chuwabu,language
2,90,q110,MZ,15,Ajaua,yaoo1241,Yao,language
2,91,q110,MZ,15,Cinyungwe,nyun1248,Nyungwe,language
2,92,q110,MZ,15,Citshwa,tswa1255,Tswa,language
2,93,q110,MZ,15,Chitewe,tewe1238,Tewe,language
2,98,q110,MZ,15,Shona,ndau1241,Ndau,language
2,100,q110,ZA,8,Afrikaans,afri1274,Afrikaans,language
2,101,q110,ZA,8,Ndebele,sout2808,Sumayela Ndebele,language
2,102,q110,ZA,8,Xhosa,xhos1239,Xhosa,language
2,103,q110,ZA,8,Pedi/Spedi/North Sotho,pedi1238,Pedi,language
2,104,q110,ZA,8,Sesotho/Sotho/South sotho,sout2807,Southern Sotho,language
2,105,q110,ZA,8,Setswana/Tswana,tswa1253,Tswana,language
2,106,q110,ZA,8,Shangaan,tson1249,Tsonga,language
2,108,q110,ZA,8,Venda,vend1245,Venda,language
2,109,q110,ZA,8,Zulu,zulu1248,Zulu,language
2,120,q110,GH,2,Akan,akan1250,Akan,language
2,121,q110,GH,2,Dagbani,dagb1246,Dagbani,language
2,122,q110,GH,2,Ewe,ewee1241,Ewe,language
2,123,q110,GH,2,Ga,gaaa1244,Ga,language
2,124,q110,GH,2,Hausa,haus1257,Hausa,language
2,140,q110,MW,4,Tumbuka,tumb1250,Tumbuka,language
2,142,q110,MW,4,Lambya,lamb1272,Lambya,language
2,143,q110,MW,4,Chewa,nyan1308,Nyanja,language
2,144,q110,MW,4,Yao,yaoo1241,Yao,language
2,146,q110,MW,4,Lomwe,mala1256,Malawi Lomwe,language
2,164,q110,ML,5,Bambara,bamb1269,Bambara,language
2,165,q110,ML,5,Peuhl,maas1239,Maasina Fulfulde,language
2,167,q110,ML,5,Sonrhai,song1307,Songhay,family
2,168,q110,ML,5,Malinke,west2499,West Manding,family
2,177,q110,ML,5,Tamasheq,tuar1240,Tuareg,family
2,180,q110,LS,3,Sesotho,sout2807,Southern Sotho,language
2,220,q110,SN,16,Wolof,nucl1347,Wolof,language
2,221,q110,SN,16,Serer,sere1260,Sereer,language
2,222,q110,SN,16,Mandinka,mand1436,Mandinka,language
2,223,q110,SN,16,Pulaar,pula1263,Pulaar,language
2,224,q110,SN,16,Diola,jola1263,Jola-Fonyi,language
2,240,q110,BW,1,Setswana,tswa1253,Tswana,language
2,242,q110,BW,1,Sekalanga,kala1384,Kalanga,language
2,260,q110,NG,7,Hausa,haus1257,Hausa,language
2,261,q110,NG,7,Yoruba,yoru1245,Yoruba,language
2,262,q110,NG,7,Igbo,nucl1417,Igbo,language
2,263,q110,NG,7,Tiv,tivv1240,Tiv,language
2,264,q110,NG,7,Ijaw,ijoo1239,Ijo,family
2,266,q110,NG,7,Nupe,nupe1254,Nupe-Nupe-Tako,language
2,267,q110,NG,7,Ibibio,ibib1240,Ibibio,language
2,268,q110,NG,7,Efik,efik1245,Efik,language
2,269,q110,NG,7,Edo,bini1246,Bini,language
2,270,q110,NG,7,Igala/Idoma,igal1242,Igala,language
2,271,q110,NG,7,Urhobo,urho1239,Urhobo,language
2,272,q110,NG,7,Ebira,ebir1243,Ebira,language
2,273,q110,NG,7,Fulani,adam1253,Adamawa Fulfulde,language
2,275,q110,NG,7,Kalabari,kala1381,Kalabari,language
2,276,q110,NG,7,Ikewere,ikwe1242,Ikwere,language
2,280,q110,ZW,12,Shona,shon1251,Shona,language
2,281,q110,ZW,12,Ndebele,nort2795,Zimbabwean Ndebele,language
2,300,q110,ZM,11,Bemba,bemb1257,Bemba (Zambia),language
2,302,q110,ZM,11,kaonda,kaon1241,Kaonde,language
2,303,q110,ZM,11,Lozi,lozi1239,Lozi,language
2,305,q110,ZM,11,Luvale,luva1239,Luvale,language
2,306,q110,ZM,11,Nyanja,nyan1308,Nyanja,language
2,307,q110,ZM,11,Tonga,tong1318,Tonga (Zambia),language
2,308,q110,ZM,11,Tumbuka,tumb1250,Tumbuka,language
2,310,q110,ZM,11,Nyika,cent2285,Central and Southern Nyika,family
2,311,q110,ZM,11,Lamba,lamb1271,Lamba,language
2,321,q110,NA,6,Ovambo languages,kuan1247,Kuanyama,language
2,324,q110,NA,6,Herero languages,here1253,Herero,language
2,380,q110,KE,14,Kalenjin,kale1246,Kalenjin,family
2,381,q110,KE,14,Kamba,kamb1297,Kamba (Kenya),language
2,382,q110,KE,14,Kikuyu,kiku1240,Kikuyu,language
2,383,q110,KE,14,Kisii,gusi1247,Gusii,language
2,384,q110,KE,14,Luhya,luyi1234,Luyia,family
2,385,q110,KE,14,Luo,luok1236,Luo (Kenya and Tanzania),language
2,386,q110,KE,14,Maasai/Samburu,nucl1431,Nuclear Maa,family
2,387,q110,KE,14,Mijikenda,miji1238,Mijikenda,family
2,388,q110,KE,14,Somali,soma1255,Somali,language
2,389,q110,KE,14,Taita,tait1250,Taita,language
2,390,q110,KE,14,Turkana,turk1308,Turkana,language
2,391,q110,KE,14,Meru,meru1245,Meru,language
2,392,q110,KE,14,Embu,embu1241,Embu,language
2,393,q110,KE,14,Borana,bora1271,Borana-Arsi-Guji Oromo,language
2,397,q110,KE,14,Bajuni,swah1253,Swahili,language
2,398,q110,KE,14,Taveta,tave1240,Taveta,language
2,399,q110,KE,14,Gujarati,guja1252,Gujarati,language
2,800,q110,NG,7,Berom,bero1242,Berom,language
2,801,q110,NG,7,Chip,mish1244,Miship,language
2,802,q110,NG,7,Jarawa,jara1263,Jarawa (Nigeria),language
2,803,q110,NG,7,Mada,mada1282,Mada (Nigeria),language
2,804,q110,NG,7,Ron,ronn1241,Ron,language
2,805,q110,NG,7,Gbagyi,gbag1258,Gbagyi,language
2,806,q110,NG,7,Taba,idun1241,Idun,language
2,808,q110,NG,7,Okun,yoru1245,Yoruba,language
2,809,q110,NG,7,Mgas,ngas1240,Ngas,language
2,995,q110,GH,2,Other,,,
2,995,q110,NG,7,Other,,,
2,-1,q83,MW,4,Missing,,,
2,-1,q83,NA,6,Missing,,,
2,-1,q83,UG,10,Missing,,,
2,-1,q83,ZW,12,Missing,,,
2,-1,q83,KE,14,Missing,,,
2,-1,q83,MZ,15,Missing,,,
2,-1,q83,SN,16,Missing,,,
2,1,q83,BW,1,English,stan1293,English,language
2,1,q83,GH,2,English,stan1293,English,language
2,1,q83,NA,6,English,stan1293,English,language
2,1,q83,ZA,8,English,stan1293,English,language
2,1,q83,UG,10,English,stan1293,English,language
2,1,q83,ZM,11,English,stan1293,English,language
2,1,q83,ZW,12,English,stan1293,English,language
2,1,q83,KE,14,English,stan1293,English,language
2,2,q83,BW,1,French,stan1290,French,language
2,2,q83,ML,5,French,stan1290,French,language
2,2,q83,NA,6,French,stan1290,French,language
2,3,q83,BW,1,Portuguese,port1283,Portuguese,language
2,3,q83,NA,6,Portuguese,port1283,Portuguese,language
2,3,q83,ZA,8,Portuguese,port1283,Portuguese,language
2,3,q83,TZ,9,Portuguese,port1283,Portuguese,language
2,3,q83,ZM,11,Portuguese,port1283,Portuguese,language
2,3,q83,ZW,12,Portuguese,port1283,Portuguese,language
2,3,q83,CV,13,Portuguese,port1283,Portuguese,language
2,3,q83,MZ,15,Portuguese,port1283,Portuguese,language
2,4,q83,BW,1,Kiswahili,swah1253,Swahili,language
2,4,q83,TZ,9,Kiswahili,swah1253,Swahili,language
2,4,q83,UG,10,Kiswahili,swah1253,Swahili,language
2,4,q83,ZM,11,Kiswahili,cong1236,Congo Swahili,language
2,4,q83,KE,14,Kiswahili,swah1253,Swahili,language
2,4,q83,MZ,15,Kiswahili,swah1253,Swahili,language
2,50,q83,CV,13,Crioulo,kabu1256,Kabuverdianu,language
2,60,q83,UG,10,Luganda,gand1255,Ganda,language
2,61,q83,UG,10,Lusoga,soga1242,Soga,language
2,62,q83,UG,10,Ateso,teso1249,Teso,language
2,63,q83,UG,10,Rutoro,toor1238,Tooro,language
2,64,q83,UG,10,Rukiga,chig1238,Chiga,language
2,65,q83,UG,10,Lumasaba,masa1299,Masaaba,language
2,66,q83,UG,10,Luo,sout2831,Southern Lwoo,family
2,67,q83,UG,10,Lugbara,lugb1240,Lugbara,language
2,68,q83,UG,10,Alur,alur1250,Alur,language
2,69,q83,UG,10,Madi,sout2827,Southern Moru-Madi,family
2,70,q83,UG,10,Runyankole,nyan1307,Nyankole,language
2,71,q83,UG,10,Runyoro,nyor1246,Nyoro,language
2,72,q83,UG,10,Rukonjo,konz1239,Konzo,language
2,73,q83,UG,10,Samia-Lugwe,saam1283,Saamia,language
2,74,q83,UG,10,Kinyarwanda,kiny1244,Kinyarwanda,language
2,75,q83,UG,10,Rufumbira,kiny1244,Kinyarwanda,language
2,76,q83,UG,10,Kakwa,kakw1240,Kakwa,language
2,77,q83,UG,10,Other Western languages,,,
2,78,q83,UG,10,Other Eastern languages,,,
2,79,q83,UG,10,Other Northern languages,,,
2,81,q83,MZ,15,Emakhuwa,makh1264,Makhuwa,language
2,82,q83,MZ,15,Cisena,nucl1396,Sena,language
2,83,q83,MZ,15,Cindau,ndau1241,Ndau,language
2,84,q83,MZ,15,Cinyanja,nyan1308,Nyanja,language
2,85,q83,MZ,15,Xichangana,tson1249,Tsonga,language
2,86,q83,MZ,15,Cicopi,chop1243,Chopi,language
2,87,q83,MZ,15,Gitonga,gito1238,Gitonga,language
2,88,q83,MZ,15,Shimakonde,mako1251,Makonde,language
2,89,q83,MZ,15,Echuwabu,chuw1238,Chuwabu,language
2,90,q83,MZ,15,Ajaua,yaoo1241,Yao,language
2,91,q83,MZ,15,Cinyungwe,nyun1248,Nyungwe,language
2,92,q83,MZ,15,Citshwa,tswa1255,Tswa,language
2,93,q83,MZ,15,Chitewe,tewe1238,Tewe,language
2,94,q83,MZ,15,Xirhonga,rong1268,Ronga,language
2,95,q83,MZ,15,Xibarue,barw1243,Barwe,language
2,96,q83,MZ,15,Cimanyika,many1258,Manyika,language
2,97,q83,MZ,15,Chichewa,nyan1308,Nyanja,language
2,98,q83,MZ,15,Shona,ndau1241,Ndau,language
2,99,q83,MZ,15,Swazi,swat1243,Swati,language
2,100,q83,ZA,8,Afrikaans,afri1274,Afrikaans,language
